	PlaceTest	DateTest	Rate	TextRate	HourTest	Sex	MaritalStatus	Education	Hometown	Neighborhood	Approved	AllRate	HasTextRate	Month	Year
116	1	2017-01-14	5.45	1.7	1	1	4	4	Divinópolis	Centro	1	7.15	1	1	2017
117	1	2017-10-01	5.45	1.7	1	2	1	3	BELO HORIZONTE	Laranjeiras	1	7.15	1	10	2017
118	1	2017-03-01	5.45	1.7	1	1	4	0	belo horizonte	Nacional	1	7.15	1	3	2017
119	1	2017-01-17	5.45	1.2	1	2	1	3	CONTAGEM	Cabral	1	6.65	1	1	2017
120	1	2017-01-16	5.4	1.4	2	2	4	8	São Luis	Cabral	1	6.800000000000001	1	1	2017
121	1	2017-01-15	5.4	1.4	1	2	1	8	contagem	Novo Riacho	1	6.800000000000001	1	1	2017
122	1	2017-01-14	5.35	1.6	1	2	1	8	Contagem 	São Caetano	1	6.949999999999999	1	1	2017
123	1	2017-01-17	5.35	1.6	1	1	1	6	sete lagoas	Espírito Santo	1	6.949999999999999	1	1	2017
124	1	2017-01-17	5.35	1.6	1	1	1	8	Curvelo	Serra	1	6.949999999999999	1	1	2017
125	1	2017-01-13	5.35	1.6	1	2	2	3	Belo Horizonte	Lindéia (Barreiro)	1	6.949999999999999	1	1	2017
126	1	2017-09-01	5.35	1.6	2	1	4	3	esmeraldas 	Niterói	1	6.949999999999999	1	9	2017
127	1	2017-01-17	5.35	1.6	1	2	4	3	Belo Horizonte 	Concórdia	1	6.949999999999999	1	1	2017
128	1	2017-01-14	5.3	1.3	2	1	1	3	Coronel Fabriciano	João XXIII	1	6.6	1	1	2017
129	1	2017-01-16	5.25	1.5	2	1	1	8	Timoteo	Jardim das Alterosas 1ª Seção	1	6.75	1	1	2017
130	1	2017-01-14	5.25	1.5	2	1	1	8	Belo Horizonte	Camargos	1	6.75	1	1	2017
131	1	2017-01-15	5.25	1.5	1	1	1	8	belo horizonte	Jardim Industrial	1	6.75	1	1	2017
132	1	2017-01-16	5.25	1.5	1	1	4	8	iguatama	Pio XII	1	6.75	1	1	2017
133	1	2017-01-16	5.25	1.5	1	2	4	8	Belo Horizonte	Fernão Dias	1	6.75	1	1	2017
134	1	2017-07-01	5.25	1.0	2	1	1	3	Contagem	Morada do Trevo	1	6.25	1	7	2017
135	1	2017-01-16	5.2	1.2	1	2	1	4	Belo Horizonte	Silveira	1	6.4	1	1	2017
136	1	2017-01-15	5.05	1.3	2	2	3	3	BELO HORIZONTE	Havaí	1	6.35	1	1	2017
137	1	2017-01-17	5.05	1.3	1	2	1	8	Capim Branco	Santa Mônica	1	6.35	1	1	2017
138	1	2017-01-15	4.95	1.2	2	2	4	8	FORMIGA	SANTO ANTÔNIO	0	6.15	1	1	2017
139	1	2017-01-16	4.95	1.2	1	2	4	8	Belo Horizonte	Estâncias Imperiais	0	6.15	1	1	2017
140	1	2017-10-01	4.95	1.2	1	2	2	9	são paulo	Jardim Flórida	0	6.15	1	10	2017
141	1	2017-06-01	7.7	2.2	2	2	4	8	Jequitibá	Emília	1	9.9	1	6	2017
142	1	2017-01-14	7.6	2.1	2	1	1	8	Belo Horizonte	Canaã	1	9.7	1	1	2017
143	1	2017-03-01	7.5	2.0	1	2	4	8	SETE LAGOAS	Jardim Arizona	1	9.5	1	3	2017
144	1	2017-01-16	7.2	1.7	1	1	3	8	Duque de Caxias	Manacás	1	8.9	1	1	2017
145	1	2017-08-01	7.0	2.0	1	1	4	0	BARRA MANSA	Jardim Europa	1	9.0	1	8	2017
